"id"	"name"	"danceability"	"energy"	"key"	"loudness"	"mode"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"type"	"uri"	"track_href"	"analysis_url"	"duration_ms"	"time_signature"	"popularity"
"28"	"5tywB6S2sw6Zp0sWt4Y3sh"	"Rocket"	0.498	0.404	6	-9.749	1	0.296	0.495	0	0.797	0.556	140.419	"audio_features"	"spotify:track:5tywB6S2sw6Zp0sWt4Y3sh"	"https://api.spotify.com/v1/tracks/5tywB6S2sw6Zp0sWt4Y3sh"	"https://api.spotify.com/v1/audio-analysis/5tywB6S2sw6Zp0sWt4Y3sh"	391907	3	24
"29"	"40owR7p9BuUhtj5TkxYsGW"	"Mine"	0.556	0.425	2	-11.296	0	0.144	0.0744	0.00143	0.14	0.0959	103.012	"audio_features"	"spotify:track:40owR7p9BuUhtj5TkxYsGW"	"https://api.spotify.com/v1/tracks/40owR7p9BuUhtj5TkxYsGW"	"https://api.spotify.com/v1/audio-analysis/40owR7p9BuUhtj5TkxYsGW"	378600	4	29
"30"	"5BcsW5DguEDxVzSIDsQiz5"	"XO"	0.467	0.793	0	-8.932	1	0.26	0.171	1.28e-06	0.313	0.214	170.056	"audio_features"	"spotify:track:5BcsW5DguEDxVzSIDsQiz5"	"https://api.spotify.com/v1/tracks/5BcsW5DguEDxVzSIDsQiz5"	"https://api.spotify.com/v1/audio-analysis/5BcsW5DguEDxVzSIDsQiz5"	215947	4	29
"31"	"0duvkSGvP4THdpcG5GnO4l"	"***Flawless"	0.491	0.674	1	-7.881	1	0.243	0.0975	0.00132	0.43	0.333	136.832	"audio_features"	"spotify:track:0duvkSGvP4THdpcG5GnO4l"	"https://api.spotify.com/v1/tracks/0duvkSGvP4THdpcG5GnO4l"	"https://api.spotify.com/v1/audio-analysis/0duvkSGvP4THdpcG5GnO4l"	250960	4	28
"32"	"3YwhcJ5JZpwy5pf6ezqiDQ"	"Superpower"	0.527	0.334	0	-11.54	1	0.0681	0.643	0	0.114	0.186	80.334	"audio_features"	"spotify:track:3YwhcJ5JZpwy5pf6ezqiDQ"	"https://api.spotify.com/v1/tracks/3YwhcJ5JZpwy5pf6ezqiDQ"	"https://api.spotify.com/v1/audio-analysis/3YwhcJ5JZpwy5pf6ezqiDQ"	276560	3	23
"33"	"4EyZt9ZFsheuxR30wIqMHK"	"Heaven"	0.342	0.188	6	-12.688	0	0.033	0.573	0.017	0.108	0.0388	102.601	"audio_features"	"spotify:track:4EyZt9ZFsheuxR30wIqMHK"	"https://api.spotify.com/v1/tracks/4EyZt9ZFsheuxR30wIqMHK"	"https://api.spotify.com/v1/audio-analysis/4EyZt9ZFsheuxR30wIqMHK"	230893	4	22
"34"	"3eGNMcN8oBnSFNJst4t4Bv"	"Blue"	0.459	0.435	1	-10.139	1	0.064	0.541	6.51e-05	0.119	0.0631	90.567	"audio_features"	"spotify:track:3eGNMcN8oBnSFNJst4t4Bv"	"https://api.spotify.com/v1/tracks/3eGNMcN8oBnSFNJst4t4Bv"	"https://api.spotify.com/v1/audio-analysis/3eGNMcN8oBnSFNJst4t4Bv"	266920	4	22
"35"	"1A7QIlETJSCFXzyp3cSbak"	"7/11"	0.747	0.705	9	-5.137	0	0.126	0.0128	0	0.126	0.56	136.024	"audio_features"	"spotify:track:1A7QIlETJSCFXzyp3cSbak"	"https://api.spotify.com/v1/tracks/1A7QIlETJSCFXzyp3cSbak"	"https://api.spotify.com/v1/audio-analysis/1A7QIlETJSCFXzyp3cSbak"	213520	4	55
"36"	"7I2amOVnwKIZj0tXz6Lz3E"	"Flawless Remix"	0.645	0.656	8	-7.307	1	0.232	0.252	2.36e-05	0.575	0.418	136.825	"audio_features"	"spotify:track:7I2amOVnwKIZj0tXz6Lz3E"	"https://api.spotify.com/v1/tracks/7I2amOVnwKIZj0tXz6Lz3E"	"https://api.spotify.com/v1/audio-analysis/7I2amOVnwKIZj0tXz6Lz3E"	234667	4	34
"37"	"7kyfbFuB5mEu6nGi2hVqPA"	"Drunk in Love Remix"	0.475	0.76	10	-3.531	0	0.0569	0.149	0	0.119	0.491	139.672	"audio_features"	"spotify:track:7kyfbFuB5mEu6nGi2hVqPA"	"https://api.spotify.com/v1/tracks/7kyfbFuB5mEu6nGi2hVqPA"	"https://api.spotify.com/v1/audio-analysis/7kyfbFuB5mEu6nGi2hVqPA"	395973	4	31
