danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlists.country.i.
0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,audio_features,03x2rVJRFUrvwlfxoHd9Mo,spotify:track:03x2rVJRFUrvwlfxoHd9Mo,https://api.spotify.com/v1/tracks/03x2rVJRFUrvwlfxoHd9Mo,https://api.spotify.com/v1/audio-analysis/03x2rVJRFUrvwlfxoHd9Mo,174983,4,Just You and I,UK
0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,audio_features,3z4CGd63tpUn9a6oQSG0CI,spotify:track:3z4CGd63tpUn9a6oQSG0CI,https://api.spotify.com/v1/tracks/3z4CGd63tpUn9a6oQSG0CI,https://api.spotify.com/v1/audio-analysis/3z4CGd63tpUn9a6oQSG0CI,241293,4,Location (feat. Burna Boy),UK
0.836,0.621,1,-4.685,0,0.0892,0.387,9.16e-5,0.104,0.762,101.995,audio_features,2cytBOLpwFRX7J9URCrFIe,spotify:track:2cytBOLpwFRX7J9URCrFIe,https://api.spotify.com/v1/tracks/2cytBOLpwFRX7J9URCrFIe,https://api.spotify.com/v1/audio-analysis/2cytBOLpwFRX7J9URCrFIe,240082,4,Options,UK
0.727,0.761,0,-5.686,0,0.436,0.619,0,0.077,0.706,91.108,audio_features,3rqmxZNh2BRgJ3BiCPFTSG,spotify:track:3rqmxZNh2BRgJ3BiCPFTSG,https://api.spotify.com/v1/tracks/3rqmxZNh2BRgJ3BiCPFTSG,https://api.spotify.com/v1/audio-analysis/3rqmxZNh2BRgJ3BiCPFTSG,240160,4,Disaster (feat. J Hus),UK
0.749,0.814,5,-3.769,0,0.0404,0.156,0,0.0673,0.715,119.964,audio_features,1ABvDz0JnQGO8M8NYjRNMp,spotify:track:1ABvDz0JnQGO8M8NYjRNMp,https://api.spotify.com/v1/tracks/1ABvDz0JnQGO8M8NYjRNMp,https://api.spotify.com/v1/audio-analysis/1ABvDz0JnQGO8M8NYjRNMp,157010,4,Don’t Feel Like Crying,UK
0.875,0.443,11,-10.843,1,0.456,0.316,0,0.118,0.717,141.042,audio_features,0mFrbJniEwJcqzq3FQD14s,spotify:track:0mFrbJniEwJcqzq3FQD14s,https://api.spotify.com/v1/tracks/0mFrbJniEwJcqzq3FQD14s,https://api.spotify.com/v1/audio-analysis/0mFrbJniEwJcqzq3FQD14s,173617,4,Keisha & Becky - Russ splash x Tion Wayne,UK
0.892,0.621,2,-7.67,1,0.0949,0.496,0,0.109,0.638,124.015,audio_features,59PUOc7B0WCNNx8Nr4qaA4,spotify:track:59PUOc7B0WCNNx8Nr4qaA4,https://api.spotify.com/v1/tracks/59PUOc7B0WCNNx8Nr4qaA4,https://api.spotify.com/v1/audio-analysis/59PUOc7B0WCNNx8Nr4qaA4,205720,4,Streatham,UK
0.887,0.765,2,-5.207,1,0.0669,0.00915,8.72e-4,0.0907,0.456,102.958,audio_features,7cz506PyIgh2bMN90Mc8Tn,spotify:track:7cz506PyIgh2bMN90Mc8Tn,https://api.spotify.com/v1/tracks/7cz506PyIgh2bMN90Mc8Tn,https://api.spotify.com/v1/audio-analysis/7cz506PyIgh2bMN90Mc8Tn,177186,4,Boasty (feat. Idris Elba),UK
0.911,0.529,9,-7.996,0,0.328,0.201,0,0.101,0.76,105.067,audio_features,1fp2uoWXPca3mIdxRHIgQm,spotify:track:1fp2uoWXPca3mIdxRHIgQm,https://api.spotify.com/v1/tracks/1fp2uoWXPca3mIdxRHIgQm,https://api.spotify.com/v1/audio-analysis/1fp2uoWXPca3mIdxRHIgQm,192571,4,Advice,UK
0.652,0.727,9,-5.976,1,0.0582,0.504,0,0.469,0.165,144.738,audio_features,1RJHieKAxYz9qbREvOR5eA,spotify:track:1RJHieKAxYz9qbREvOR5eA,https://api.spotify.com/v1/tracks/1RJHieKAxYz9qbREvOR5eA,https://api.spotify.com/v1/audio-analysis/1RJHieKAxYz9qbREvOR5eA,192026,4,Kitchen Kings,UK
